Source Name,RA,Dec,Significance,Energy Flux,L_BL Lac,L_FSRQ
4FGL J1435.7+6148,218.9474,61.8054,4.0000,$(0.7\pm0.20)	imes10^{-12}$,0.9793,0.0207
4FGL J0950.2-1623,147.5510,-16.3965,4.8300,$(1.1\pm0.31)	imes10^{-12}$,0.9790,0.0210
4FGL J0703.2+6809,105.8104,68.1510,4.7200,$(0.9\pm0.22)	imes10^{-12}$,0.9787,0.0213
4FGL J1600.0+8510,240.0107,85.1700,23.8100,$(6.0\pm0.38)	imes10^{-12}$,0.9786,0.0214
4FGL J0150.6-5448,27.6655,-54.8033,7.7500,$(1.4\pm0.25)	imes10^{-12}$,0.9781,0.0219
4FGL J0404.1-1715,61.0485,-17.2585,6.3100,$(1.3\pm0.29)	imes10^{-12}$,0.9780,0.0220
4FGL J2307.7+6712,346.9293,67.2152,5.4400,$(1.5\pm0.38)	imes10^{-12}$,0.9779,0.0221
4FGL J2115.6-4938,318.9046,-49.6381,10.6200,$(2.7\pm0.36)	imes10^{-12}$,0.9778,0.0222
4FGL J0446.3-1729,71.5979,-17.4886,4.4500,$(1.1\pm0.30)	imes10^{-12}$,0.9778,0.0222
4FGL J1520.0-0905,230.0081,-9.0884,8.0600,$(2.7\pm0.50)	imes10^{-12}$,0.9776,0.0224
4FGL J0319.4-7045,49.8587,-70.7530,8.9700,$(1.6\pm0.27)	imes10^{-12}$,0.9774,0.0226
4FGL J2240.3-1246,340.0870,-12.7769,6.6400,$(1.4\pm0.35)	imes10^{-12}$,0.9772,0.0228
4FGL J0629.6+2435,97.4084,24.5877,9.0800,$(2.5\pm0.45)	imes10^{-12}$,0.9771,0.0229
4FGL J2258.5-8247,344.6389,-82.7844,15.7400,$(4.1\pm0.61)	imes10^{-12}$,0.9771,0.0229
4FGL J1806.9-8038,271.7473,-80.6429,4.4600,$(1.3\pm0.33)	imes10^{-12}$,0.9770,0.0230
4FGL J1115.2-0703,168.8065,-7.0608,12.7100,$(4.1\pm0.46)	imes10^{-12}$,0.9768,0.0232
4FGL J0041.7-1607,10.4382,-16.1210,5.1800,$(0.9\pm0.26)	imes10^{-12}$,0.9768,0.0232
4FGL J1944.0+2117,296.0049,21.2904,16.9200,$(7.5\pm0.88)	imes10^{-12}$,0.9766,0.0234
4FGL J1738.8+3822,264.7157,38.3727,6.4800,$(1.0\pm0.27)	imes10^{-12}$,0.9763,0.0237
4FGL J2359.1+1719,359.7756,17.3225,6.3700,$(1.6\pm0.32)	imes10^{-12}$,0.9763,0.0237
4FGL J1524.8-5904,231.2077,-59.0679,11.9800,$(5.2\pm1.02)	imes10^{-12}$,0.9762,0.0238
4FGL J0122.1-3004,20.5293,-30.0697,5.0600,$(0.7\pm0.24)	imes10^{-12}$,0.9759,0.0241
4FGL J0109.3+2401,17.3313,24.0237,8.2300,$(2.1\pm0.38)	imes10^{-12}$,0.9757,0.0243
4FGL J0233.9+8041,38.4987,80.6948,7.1000,$(1.3\pm0.29)	imes10^{-12}$,0.9756,0.0244
4FGL J2101.3+0912,315.3491,9.2007,8.1000,$(2.3\pm0.41)	imes10^{-12}$,0.9753,0.0247
4FGL J2336.6+2356,354.1535,23.9423,11.8300,$(3.0\pm0.39)	imes10^{-12}$,0.9751,0.0249
4FGL J0812.6+2821,123.1562,28.3574,8.0600,$(1.8\pm0.33)	imes10^{-12}$,0.9751,0.0249
4FGL J0539.0+1644,84.7500,16.7432,8.4900,$(2.4\pm0.48)	imes10^{-12}$,0.9749,0.0251
4FGL J0218.7+2640,34.6851,26.6812,4.5100,$(0.6\pm0.23)	imes10^{-12}$,0.9747,0.0253
4FGL J1423.5+4524,215.8762,45.4034,7.2400,$(1.4\pm0.25)	imes10^{-12}$,0.9746,0.0254
4FGL J1950.0-7321,297.5093,-73.3641,4.5200,$(1.2\pm0.30)	imes10^{-12}$,0.9746,0.0254
4FGL J0655.4-2631,103.8659,-26.5240,8.4300,$(2.5\pm0.49)	imes10^{-12}$,0.9743,0.0257
4FGL J1117.2-5337,169.3179,-53.6266,22.6400,$(6.0\pm0.61)	imes10^{-12}$,0.9736,0.0264
